id, lon, lat
0, 87.82472222222222, -70.17777777777778
1, 114.4525, 16.071666666666665
2, 81.22333333333333, 31.219166666666666
3, 77.35, 39.166666666666664
4, 81.27111111111111, 30.15583333333333
5, 43.614444444444445, 35.79416666666666
6, 35.0, 31.0
7, 4.766944444444444, 50.757777777777775
8, 2.883888888888889, 50.836666666666666
9, 5.678888888888889, 50.7975
10, 3.2594444444444446, 51.211111111111116
11, 3.2233333333333336, 51.21027777777778
12, 4.7011111111111115, 50.873333333333335
13, 4.362222222222222, 50.84166666666667
14, 2.9219444444444442, 51.224444444444444
15, 4.259444444444444, 51.32555555555556
16, 3.8305555555555553, 50.58083333333334
17, 3.2055555555555557, 51.336111111111116
18, 4.426388888888889, 50.88027777777778
19, 14.195555555555556, 50.538333333333334
20, 24.979999999999997, 60.15
21, 2.2555555555555555, 48.81444444444444
22, 5.705277777777778, 45.200833333333335
23, -4.506666666666667, 48.30638888888888
24, 6.466666666666667, 43.03333333333333
25, 5.760555555555555, 43.689722222222215
26, -1.25, 44.36194444444445
27, 164.75416666666666, 48.805
28, 6.322222222222222, 43.09277777777778
29, 1.2441666666666666, 46.713055555555556
30, -1.8800000000000001, 49.680277777777775
31, 4.862222222222222, 44.13916666666667
32, -1.6417777777777778, 49.65508333333333
33, -1.3609166666666668, 46.20225
34, 2.216111111111111, 48.7725
35, 5.901944444444445, 43.11694444444444
36, 4.941666666666667, 43.52444444444444
37, 4.324166666666667, 49.24111111111111
38, 3.1503055555555552, 45.890388888888886
39, 5.12625, 45.65880555555555
40, 5.414583333333334, 43.23319444444444
41, 1.2380555555555557, 44.78638888888889
42, 1.5076944444444444, 49.09455555555556
43, 6.218055555555556, 49.41583333333333
44, 0.7233333333333334, 47.43222222222222
45, -4.5129166666666665, 48.37352777777778
46, 4.709444444444444, 44.14333333333333
47, 4.84762, 45.782372
48, 11.533888888888889, 48.71555555555556
49, 21.290916666666668, 37.92527777777777
50, 23.715833333333332, 38.025277777777774
51, 27.089944444444445, 36.80162222222222
52, 25.452444444444442, 36.36866666666667
53, 28.20722222222222, 36.32497222222223
54, 26.941583333333334, 36.96416666666667
55, 20.500916666666665, 38.11944444444445
56, 26.85163888888889, 37.13011111111111
57, 26.85163888888889, 37.14966666666667
58, 26.76486111111111, 37.28905555555556
59, 27.136642833333333, 36.613233
60, 26.503611111111113, 39.13444444444444
61, 22.974444444444444, 40.52055555555555
62, 22.96723611111111, 37.949752777777775
63, 18.586830555555554, 47.46315833333334
64, 5.011299166666666, 51.661748333333335
65, 21.034444444444446, 52.12722222222222
66, 19.903888888888886, 50.036944444444444
67, 18.551944444444445, 54.55472222222222
68, -9.0525, 39.174166666666665
69, -9.206666666666665, 38.70416666666667
70, 28.057222222222222, 44.3175
71, -3.3033333333333332, 39.8875
72, -3.725, 40.295833333333334
73, -3.7333333333333334, 40.46527777777778
74, -3.7877777777777775, 40.40694444444444
75, -2.4722222222222223, 36.83888888888889
76, -5.584722222222222, 36.01444444444444
77, 3.235, 42.28138888888889
78, -6.329722222222222, 36.65416666666667
79, -2.4722222222222223, 36.83888888888889
80, -2.718611111111111, 36.74722222222222
81, 4.317777777777778, 39.87555555555556
82, 2.9498333333333338, 39.727111111111114
83, 18.011388888888888, 59.35277777777778
84, 17.855555555555558, 59.331944444444446
85, 21.06388888888889, 67.89277777777778
86, 17.58861111111111, 59.89722222222222
87, -92.22323333333334, 20.711591666666667
88, -77.06694444444445, 38.92128888888889
89, -81.697912, 41.47254
90, -76.57434444444443, 42.9347
91, -179.0402222222222, 51.49358333333333
92, -122.26672777777777, 47.666038888888885
93, -122.24580555555556, 38.10016666666667
94, -121.77055555555556, 38.00866666666667
95, -73.41486, 40.66656
96, -26.5, -58.0
97, -49.266666666666666, -25.433333333333334
